cemented,uncemented,hybrid,reverse_hybrid
10.56036932,10.61535829,10.59194065,10.58643157
10.46000577,10.52361782,10.49576255,10.48708118
10.51385459,10.57369871,10.55711552,10.54120005
10.69493257,10.75065814,10.72438267,10.7192805
10.56579149,10.61988694,10.59764652,10.58250303
10.5296757,10.59016865,10.57098658,10.55868723
10.62608899,10.68849431,10.66485501,10.65393031
10.55316793,10.59787044,10.57125975,10.56107931
10.4662622,10.51436315,10.49408515,10.47929594
10.42590913,10.47727756,10.4555388,10.44257797
10.41997498,10.48108456,10.45615567,10.44649707
10.46467458,10.53161706,10.50491492,10.49760963
10.52127456,10.57972553,10.55223134,10.54370917
10.4491011,10.50646656,10.48486759,10.46740135
10.51777985,10.57633574,10.55928726,10.54715059
10.51826947,10.57010414,10.54636507,10.53516591
10.5808275,10.63388984,10.60753402,10.60432184
10.47438744,10.52702992,10.51144121,10.49110498
10.4993246,10.55368827,10.5299902,10.51196855
10.46720557,10.5261625,10.50721723,10.49165699
10.59519803,10.64736905,10.61803319,10.61259089
10.5175902,10.56901399,10.55073414,10.53112618
10.56029022,10.62484109,10.60078705,10.58592625
10.48428209,10.54395027,10.52322961,10.50863239
10.55045743,10.60745508,10.58247382,10.57347125
10.44323336,10.498939,10.4793784,10.46234756
10.51114133,10.57404972,10.55120721,10.53900445
10.47004063,10.5256067,10.50028754,10.49379419
10.50053262,10.56221772,10.53154057,10.52879148
10.62871496,10.68473786,10.65664051,10.65333737
10.51783934,10.57201582,10.5547585,10.54226375
10.57939126,10.63245372,10.58996513,10.59773178
10.51667701,10.57610542,10.55419918,10.54069981
10.53519066,10.59213511,10.57256553,10.55676499
10.53071636,10.5881331,10.56685026,10.55236213
10.56833954,10.61731582,10.60253479,10.58684854
10.43533136,10.49579083,10.4769579,10.45871102
10.51609343,10.58067729,10.56216217,10.53679496
10.53608218,10.58586644,10.56236048,10.55718919
10.43267334,10.49854235,10.47016574,10.46153993
10.58344008,10.63379303,10.61102824,10.60360209
10.50492764,10.56489011,10.54275973,10.53661722
10.41732652,10.4608264,10.4504339,10.42619549
10.54822191,10.59133991,10.57900789,10.56255233
10.56635196,10.62139507,10.59967222,10.58468088
10.58431722,10.64516604,10.61828637,10.60532877
10.44137917,10.48730379,10.46443317,10.45712141
10.4921798,10.53894836,10.51388785,10.5046969
10.55588748,10.61107308,10.59493282,10.58245573
10.57917969,10.63106785,10.60892327,10.59269097
10.54261655,10.60356805,10.5655075,10.56166157
10.53254141,10.58862875,10.5680246,10.54894288
10.62428503,10.69429736,10.66565745,10.64888299
10.48420329,10.54713539,10.52447289,10.51671736
10.49297037,10.54936162,10.52599973,10.5132896
10.5692813,10.62770785,10.60436116,10.59041059
10.54112992,10.59922495,10.57034076,10.55600161
10.60391332,10.65739269,10.63047105,10.61550571
10.53281958,10.58762886,10.56632646,10.54626053
10.38502566,10.44803607,10.42248136,10.41331
10.40896778,10.47024582,10.44685757,10.44091918
10.54362012,10.60172299,10.58224806,10.57049119
10.57946459,10.63671291,10.60587865,10.58790081
10.49537974,10.56437038,10.53645108,10.53006459
10.52013937,10.57316784,10.55348538,10.53716698
10.40897617,10.47517284,10.45314736,10.4337631
10.59340561,10.64889049,10.63199487,10.61327597
10.50266467,10.56976722,10.54548536,10.53595106
10.50304404,10.55552783,10.5326328,10.51819729
10.42533297,10.48914773,10.46899868,10.4570396
10.48098246,10.54151622,10.51500414,10.50649077
10.54486019,10.59640894,10.57816634,10.56789367
10.46024806,10.53328099,10.51431241,10.49764696
10.57513991,10.62448072,10.60280281,10.58156169
10.53577083,10.6025863,10.58079173,10.56371077
10.36261134,10.41071724,10.40043686,10.38475278
10.55136112,10.61173268,10.57939304,10.57470366
10.48642232,10.54280559,10.51872842,10.52110998
10.54775545,10.60889346,10.58074353,10.57934832
10.53305849,10.59025505,10.57039984,10.56104073
10.478077,10.53448631,10.50995712,10.50545683
10.56911469,10.62486218,10.59825698,10.6009373
10.59892782,10.65836371,10.63115497,10.62093176
