cemented,uncemented,hybrid,reverse_hybrid
1550.433917,2906.72265,2225.955099,2149.487366
1567.063152,2901.196442,2243.144546,2155.127921
1505.02066,2912.102813,2234.266308,2118.742834
1514.335048,2907.624799,2245.625533,2141.10961
1570.289775,2930.689879,2220.717678,2130.709124
1534.323634,2903.192321,2225.831329,2156.480424
1530.204931,2875.779275,2264.608018,2131.536175
1554.038425,2909.706067,2221.696228,2164.004997
1599.869681,2886.880539,2238.511987,2169.671461
1602.324213,2926.553462,2247.911099,2134.613938
1553.349114,2905.913346,2232.070064,2143.590972
1581.272155,2926.683455,2251.621112,2168.564529
1559.678639,2905.2829,2257.911221,2177.051802
1533.491512,2909.566798,2248.577021,2168.574865
1543.757488,2910.628618,2224.090692,2169.38084
1608.945787,2929.143512,2266.041818,2160.141296
1593.427344,2916.095214,2244.652324,2123.450363
1593.135774,2927.641741,2237.906457,2146.724159
1521.66225,2878.345558,2236.773446,2171.496131
1648.097842,2926.238762,2279.97151,2161.556268
1575.914988,2943.635083,2252.168135,2181.867315
1602.562143,2899.917239,2221.880391,2168.304154
1557.730641,2909.201371,2205.209197,2148.193199
1619.749459,2910.96144,2244.866778,2142.029488
1540.514312,2910.21952,2234.961014,2155.52263
1581.47211,2897.542043,2207.908821,2115.779057
1550.631848,2890.127789,2228.599168,2118.453052
1565.646102,2934.585107,2238.156437,2139.195933
1616.624201,2893.925128,2196.816134,2126.384785
1527.650067,2909.077216,2229.466987,2185.380395
1602.972593,2908.226239,2225.427923,2157.476769
1565.768714,2931.879243,2199.411481,2134.514363
1549.641068,2886.727945,2254.890353,2126.63061
1576.833114,2921.736136,2254.71627,2091.666397
1602.592202,2920.338157,2275.381721,2131.508987
1565.308802,2908.309443,2219.159525,2115.144214
1534.557296,2889.676254,2220.422847,2091.356236
1539.342669,2907.154778,2243.482503,2079.872968
1576.286962,2926.551184,2265.825408,2162.928091
1592.721942,2925.262941,2273.419667,2145.040765
1546.676549,2896.260415,2222.052003,2167.569315
1548.151986,2924.09396,2240.618621,2145.984612
1531.785829,2938.129904,2249.263777,2139.422117
1576.919757,2921.55666,2225.031469,2118.737233
1585.500271,2930.423857,2236.448422,2157.054922
1613.397684,2894.287293,2227.699111,2171.996622
1552.58394,2929.508238,2271.73261,2132.211159
1515.436113,2918.372258,2243.497208,2158.940135
1573.812365,2934.871949,2210.105603,2169.924876
1595.148633,2895.016958,2238.522136,2143.290624
1555.559119,2897.804708,2182.006395,2170.12453
1538.136604,2906.924083,2246.682003,2118.577568
1536.723571,2919.398161,2203.952733,2156.483481
1531.652675,2938.35182,2219.722234,2160.167427
1565.13862,2931.897109,2237.370488,2111.004886
1573.548789,2895.744994,2205.380462,2112.425363
1572.113917,2883.107921,2246.476448,2136.474529
1556.108921,2922.524229,2220.603741,2155.039734
1594.758254,2944.694958,2223.767925,2156.405256
1553.957498,2884.432937,2219.008437,2126.78326
1565.466083,2931.866858,2236.085716,2124.632165
1535.60125,2869.472445,2236.564075,2117.388203
1599.679961,2894.916476,2247.007652,2127.57953
1598.060193,2914.120387,2235.406849,2137.826528
1590.187393,2917.860247,2236.252918,2145.13867
1520.19397,2895.645965,2237.303598,2140.156887
1560.929418,2901.675365,2237.431319,2143.803416
1518.969956,2885.96334,2205.485186,2134.075399
1489.63161,2928.389791,2225.905033,2153.514046
1527.458173,2919.205769,2224.217264,2132.088781
1576.53821,2906.130531,2270.222748,2147.363036
1553.048484,2905.006433,2227.249068,2157.456141
1554.447674,2896.634286,2199.08108,2132.630241
1565.672209,2910.716282,2207.786557,2110.951216
1585.514596,2930.501436,2245.742473,2150.308521
1577.524603,2906.355072,2252.078255,2136.47311
1501.360994,2934.086754,2222.690664,2123.717021
1590.908938,2931.415465,2266.782476,2174.760215
1617.694006,2928.804083,2250.118688,2187.993
1572.472462,2909.677346,2262.093587,2146.027347
1585.207533,2916.567747,2239.920844,2130.087433
1561.34553,2907.001285,2230.682521,2131.135686
1552.896242,2924.035982,2257.710881,2143.538316
1554.455207,2941.599216,2253.568854,2133.944476
1570.409437,2911.333353,2208.197606,2078.27059
1603.124775,2938.676405,2271.782091,2182.271421
1570.578967,2916.145169,2261.263165,2152.336342
1592.08582,2950.196559,2230.317615,2194.846343
1541.963502,2900.512109,2250.162533,2129.817598
1579.719298,2934.812742,2226.308174,2110.509085
1574.858556,2909.959957,2223.819119,2133.650953
